column 1,column 2
241,1.619995
242,1.003811
243,1.140288
244,-0.4681686
245,-0.4800766
246,0.2683607
247,1.737461
248,3.104543
249,3.835793
250,4.167808
251,4.503994
252,4.787631
253,4.915443
254,5.132895
255,5.396609
256,5.03717
257,4.602828
258,4.851453
259,5.097626
260,5.301862
261,6.173031
262,6.209226
263,5.884236
264,5.556942
265,5.25754
266,4.983835
267,4.65823
268,4.362279
269,2.934064
270,2.769545
271,2.809352
272,2.830668
273,3.569765
274,2.518751
275,2.00242
276,1.392953
277,0.314398
278,0.8609867
279,0.1581162
280,0.2820957
281,1.212241
282,2.061507
283,1.908349
284,1.764854
285,2.049498
286,2.310974
287,2.535056
288,2.497615
289,3.088515
290,3.759914
291,4.34519
292,5.014843
293,5.381083
294,5.031108
295,4.743823
296,5.127901
297,4.150659
298,4.632999
299,4.477167
300,3.27069
301,3.348056
302,3.629075
303,4.036547
304,3.010823
305,0.6390795
306,0.3633661
307,1.139077
308,1.115437
309,1.454466
310,1.864133
311,1.302104
312,1.378891
313,1.282091
314,1.954593
315,2.526485
316,2.343824
317,2.201609
318,2.38591
319,2.896271
320,3.120715
321,3.566155
322,3.346469
323,3.076372
324,2.935895
325,2.923145
326,2.819274
327,2.650907
328,3.070742
329,2.895721
330,2.676861
331,2.521588
332,2.313329
333,2.138176
334,2.467316
335,2.895267
336,2.843663
337,3.246855
338,3.615752
339,3.919376
340,3.48325
341,3.662409
342,3.372719
343,3.026201
344,2.607749
345,3.040683
346,3.222252
347,3.562728
348,3.905432
349,2.880168
350,3.246212
351,3.6278
352,4.112257
353,2.792978
354,1.578929
355,2.244027
356,2.128713
357,0.4257241
358,0.5656056
359,1.46043
360,2.398751
361,3.242754
362,4.619747
363,6.183834
364,6.745022
365,7.0515
366,6.705882
367,6.097311
368,5.472676
369,4.197854
370,5.447089
371,6.744509
372,7.759954
373,6.748724
374,7.896756
375,7.88799
376,8.769618
377,8.904866
378,7.668734
379,6.111708
380,4.807408
381,3.5299
382,4.882691
383,3.577648
384,4.118447
385,2.914137
386,2.905488
387,2.445687
388,2.198446
389,1.588243
390,0.816279
391,0.1480733
392,1.003653
393,1.383463
394,1.650941
395,1.877604
396,2.094266
397,2.32462
398,3.029789
